open_time_brasilia,open,high,low,close,volume,close_time_brasilia,quote_volume,trades
2026-05-18 02:05:00,1.39460000,1.39470000,1.39220000,1.39280000,386482.60000000,2026-05-18 02:09:59,538367.57159000,2039
2026-05-18 02:10:00,1.39270000,1.39590000,1.39070000,1.39490000,698401.70000000,2026-05-18 02:14:59,973145.57935000,2752
2026-05-18 02:15:00,1.39480000,1.39490000,1.39160000,1.39250000,205674.60000000,2026-05-18 02:19:59,286627.19993000,1646
2026-05-18 02:20:00,1.39260000,1.39350000,1.39190000,1.39300000,164252.60000000,2026-05-18 02:24:59,228723.66489000,1444
2026-05-18 02:25:00,1.39300000,1.39390000,1.39220000,1.39320000,73119.10000000,2026-05-18 02:29:59,101866.20936000,1074
2026-05-18 02:30:00,1.39330000,1.39430000,1.39230000,1.39240000,304324.70000000,2026-05-18 02:34:59,423975.55136000,2189
2026-05-18 02:35:00,1.39230000,1.39350000,1.39150000,1.39340000,88245.90000000,2026-05-18 02:39:59,122864.45281000,1201
2026-05-18 02:40:00,1.39340000,1.39350000,1.38860000,1.38980000,679744.40000000,2026-05-18 02:44:59,945921.12707000,2743
2026-05-18 02:45:00,1.38980000,1.39110000,1.38870000,1.38970000,192714.00000000,2026-05-18 02:49:59,267847.42637000,1782
2026-05-18 02:50:00,1.38970000,1.38990000,1.38780000,1.38920000,243040.00000000,2026-05-18 02:54:59,337521.41742000,1576
2026-05-18 02:55:00,1.38910000,1.39030000,1.38830000,1.38940000,217155.10000000,2026-05-18 02:59:59,301629.25454000,1333
2026-05-18 03:00:00,1.38930000,1.39200000,1.38910000,1.38990000,227360.80000000,2026-05-18 03:04:59,316084.47208000,2115
2026-05-18 03:05:00,1.38980000,1.39030000,1.38020000,1.38390000,1565267.20000000,2026-05-18 03:09:59,2167875.49405000,6036
2026-05-18 03:10:00,1.38380000,1.38600000,1.38210000,1.38580000,360082.30000000,2026-05-18 03:14:59,498263.39577000,3414
2026-05-18 03:15:00,1.38580000,1.38860000,1.38420000,1.38470000,329214.20000000,2026-05-18 03:19:59,456345.25088000,2896
2026-05-18 03:20:00,1.38460000,1.38460000,1.37640000,1.38310000,1475139.80000000,2026-05-18 03:24:59,2036448.10305000,6215
2026-05-18 03:25:00,1.38300000,1.38540000,1.38120000,1.38140000,811104.50000000,2026-05-18 03:29:59,1122389.29140000,3092
2026-05-18 03:30:00,1.38150000,1.38370000,1.37960000,1.38310000,459092.20000000,2026-05-18 03:34:59,634162.03615000,3139
2026-05-18 03:35:00,1.38310000,1.38580000,1.38270000,1.38300000,357872.30000000,2026-05-18 03:39:59,495285.89739000,2250
2026-05-18 03:40:00,1.38290000,1.38630000,1.38280000,1.38630000,394779.50000000,2026-05-18 03:44:59,546595.15283000,2105
2026-05-18 03:45:00,1.38640000,1.38980000,1.38640000,1.38950000,309696.00000000,2026-05-18 03:49:59,429899.49856000,2633
2026-05-18 03:50:00,1.38940000,1.38940000,1.38560000,1.38660000,168303.50000000,2026-05-18 03:54:59,233562.79646000,1661
2026-05-18 03:55:00,1.38670000,1.38870000,1.38660000,1.38840000,117153.20000000,2026-05-18 03:59:59,162580.80216000,1401
2026-05-18 04:00:00,1.38850000,1.39120000,1.38850000,1.38870000,379789.50000000,2026-05-18 04:04:59,527889.18361000,2726
2026-05-18 04:05:00,1.38860000,1.38910000,1.38670000,1.38730000,213052.40000000,2026-05-18 04:09:59,295623.58137000,1450
2026-05-18 04:10:00,1.38730000,1.38730000,1.38460000,1.38580000,219092.40000000,2026-05-18 04:14:59,303622.34616000,2304
2026-05-18 04:15:00,1.38580000,1.38580000,1.38260000,1.38260000,179642.60000000,2026-05-18 04:19:59,248667.82078000,2111
2026-05-18 04:20:00,1.38260000,1.38280000,1.38030000,1.38260000,859610.80000000,2026-05-18 04:24:59,1187192.09094000,2612
2026-05-18 04:25:00,1.38250000,1.38900000,1.38250000,1.38770000,646405.00000000,2026-05-18 04:29:59,896682.18506000,3743
2026-05-18 04:30:00,1.38770000,1.38980000,1.38750000,1.38800000,246316.40000000,2026-05-18 04:34:59,341986.26448000,2744
2026-05-18 04:35:00,1.38790000,1.38790000,1.38550000,1.38590000,184795.70000000,2026-05-18 04:39:59,256212.34542000,2320
2026-05-18 04:40:00,1.38590000,1.38640000,1.38220000,1.38280000,117159.90000000,2026-05-18 04:44:59,162105.65666000,1768
2026-05-18 04:45:00,1.38290000,1.38540000,1.38260000,1.38440000,187006.10000000,2026-05-18 04:49:59,258874.76693000,1794
2026-05-18 04:50:00,1.38440000,1.38690000,1.38350000,1.38680000,196766.60000000,2026-05-18 04:54:59,272705.49944000,1467
2026-05-18 04:55:00,1.38680000,1.38780000,1.38590000,1.38670000,289592.80000000,2026-05-18 04:59:59,401605.18567000,1422
2026-05-18 05:00:00,1.38670000,1.38880000,1.38670000,1.38880000,168148.20000000,2026-05-18 05:04:59,233343.84999000,1415
2026-05-18 05:05:00,1.38890000,1.38970000,1.38760000,1.38800000,253127.80000000,2026-05-18 05:09:59,351460.65400000,2143
2026-05-18 05:10:00,1.38790000,1.38820000,1.38650000,1.38680000,116190.50000000,2026-05-18 05:14:59,161208.39548000,1243
2026-05-18 05:15:00,1.38670000,1.38720000,1.38600000,1.38620000,238685.80000000,2026-05-18 05:19:59,330948.03313000,1394
2026-05-18 05:20:00,1.38610000,1.38700000,1.38440000,1.38550000,200180.80000000,2026-05-18 05:24:59,277439.56052000,1480
2026-05-18 05:25:00,1.38560000,1.38670000,1.38550000,1.38550000,118883.80000000,2026-05-18 05:29:59,164796.36826000,1065
2026-05-18 05:30:00,1.38560000,1.38600000,1.38330000,1.38510000,82046.00000000,2026-05-18 05:34:59,113586.48398000,1452
2026-05-18 05:35:00,1.38520000,1.38520000,1.38200000,1.38350000,131288.50000000,2026-05-18 05:39:59,181596.52376000,1513
2026-05-18 05:40:00,1.38340000,1.38410000,1.38290000,1.38380000,110107.30000000,2026-05-18 05:44:59,152338.72524000,906
2026-05-18 05:45:00,1.38380000,1.38490000,1.38310000,1.38410000,96647.00000000,2026-05-18 05:49:59,133744.29321000,980
2026-05-18 05:50:00,1.38400000,1.38690000,1.38400000,1.38680000,147706.60000000,2026-05-18 05:54:59,204675.76889000,1488
2026-05-18 05:55:00,1.38670000,1.38830000,1.38670000,1.38790000,83497.70000000,2026-05-18 05:59:59,115859.13969000,994
2026-05-18 06:00:00,1.38790000,1.38800000,1.38470000,1.38470000,258763.90000000,2026-05-18 06:04:59,358614.16384000,1981
2026-05-18 06:05:00,1.38470000,1.38490000,1.38350000,1.38440000,165592.00000000,2026-05-18 06:09:59,229224.27846000,1418
2026-05-18 06:10:00,1.38440000,1.38590000,1.38250000,1.38420000,566548.30000000,2026-05-18 06:14:59,784240.39231000,1906
2026-05-18 06:15:00,1.38420000,1.38600000,1.38390000,1.38500000,44338.70000000,2026-05-18 06:19:59,61419.71796000,951
2026-05-18 06:20:00,1.38500000,1.38630000,1.38500000,1.38590000,48241.20000000,2026-05-18 06:24:59,66846.70164000,694
2026-05-18 06:25:00,1.38580000,1.38580000,1.38340000,1.38520000,63949.80000000,2026-05-18 06:29:59,88560.43576000,969
2026-05-18 06:30:00,1.38510000,1.38510000,1.38280000,1.38490000,180345.10000000,2026-05-18 06:34:59,249556.56072000,1509
